fullNameForSearch,age,position,height,team,overall_rating,awareness_rating,speed_rating,agility_rating,jumping_rating,acceleration_rating,archetype,bCVision_rating,blockShedding_rating,breakSack_rating,breakTackle_rating,carrying_rating,catchInTraffic_rating,catching_rating,changeOfDirection_rating,college,deepRouteRunning_rating,finesseMoves_rating,firstName,hitPower_rating,impactBlocking_rating,injury_rating,iteration,jerseyNum,jukeMove_rating,kickAccuracy_rating,kickPower_rating,kickReturn_rating,lastName,leadBlock_rating,manCoverage_rating,mediumRouteRunning_rating,passBlockFinesse_rating,passBlockPower_rating,passBlock_rating,playAction_rating,playRecognition_rating,plyrAssetname,plyrBirthdate,plyrHandedness,plyrPortrait,powerMoves_rating,press_rating,primaryKey,pursuit_rating,release_rating,runBlockFinesse_rating,runBlockPower_rating,runBlock_rating,runningStyle_rating,shortRouteRunning_rating,signingBonus,spectacularCatch_rating,spinMove_rating,stamina_rating,status,stiffArm_rating,strength_rating,tackle_rating,teamId,throwAccuracyDeep_rating,throwAccuracyMid_rating,throwAccuracyShort_rating,throwOnTheRun_rating,throwPower_rating,throwUnderPressure_rating,totalSalary,toughness_rating,trucking_rating,weight,yearsPro,zoneCoverage_rating
Aaron Donald,31,RE,73,Rams,99,99,82,86,78,90,DE_PowerRusher,49,97,12,17,48,23,42,68,Pittsburgh,5,97,Aaron,89,93,98,launch-ratings,99,28,21,25,10,Donald,23,25,9,45,45,45,6,99,DonaldAaron_10852,5/23/91,Right,6394,99,21,10852,98,12,45,45,45,Default Stride Loose,16,45500000,47,25,88,published,30,99,93,24,6,6,6,6,20,15,41670000,97,32,280,8,29
Davante Adams,29,WR,73,Raiders,99,99,90,95,96,92,WR_DeepThreat,94,52,22,85,76,99,99,97,Fresno State,95,10,Davante,15,45,93,launch-ratings,17,95,30,25,45,Adams,25,18,97,17,13,38,6,26,AdamsDavante_10823,12/24/92,Right,6328,10,25,10823,44,99,12,20,48,Default Stride Loose,98,42350000,99,86,97,published,75,63,42,23,6,10,15,10,45,20,97870000,88,63,215,8,24
Myles Garrett,26,RE,76,Browns,99,98,88,85,92,91,DE_PowerRusher,39,90,12,34,55,21,52,71,Texas AM,4,91,Myles,84,87,88,launch-ratings,95,36,20,20,10,Garrett,17,51,8,45,45,45,10,94,GarrettMyles_12520,12/29/95,Right,8560,98,44,12520,97,31,45,45,45,Long Stride Default,15,65590000,25,40,88,published,48,96,92,5,27,30,31,23,55,16,84270000,87,36,272,5,51
Trent Williams,34,LT,77,49ers,99,99,76,73,83,74,OT_Power,10,32,12,7,40,15,20,58,Oklahoma,5,10,Trent,60,99,87,launch-ratings,71,10,10,11,10,Williams,98,10,5,92,95,93,6,19,WilliamsTrent_9800,7/19/88,Right,3231,10,10,9800,33,15,99,98,98,Default Stride Awkward,15,40100000,51,10,88,published,10,98,39,15,6,6,6,6,12,14,97870000,98,10,320,12,14
Cooper Kupp,29,WR,74,Rams,98,99,89,95,82,96,WR_Slot,96,28,22,86,76,88,99,94,Eastern Wash.,94,10,Cooper,26,54,91,launch-ratings,10,94,20,22,84,Kupp,34,15,98,34,39,46,38,22,KuppCooper_12558,6/15/93,Right,8626,10,10,12558,31,90,28,32,65,Default,99,32200000,88,87,99,published,77,66,31,24,31,36,42,40,59,29,89850000,88,55,208,5,26
Jalen Ramsey,27,CB,73,Rams,98,98,92,91,94,95,CB_MantoMan,72,50,34,68,71,55,80,92,Florida State,12,41,Jalen,82,65,88,launch-ratings,5,78,17,18,80,Ramsey,22,98,24,34,33,21,16,96,RamseyJalen_17538,10/24/94,Right,8185,35,99,17538,79,27,34,33,34,Short Stride Default,36,43600000,70,69,94,published,57,71,75,24,21,26,33,24,27,17,71000000,90,42,208,6,99
Travis Kelce,32,TE,77,Chiefs,98,97,86,86,92,88,TE_VerticalThreat,92,40,42,77,72,91,96,75,Cincinnati,79,20,Travis,15,74,92,launch-ratings,87,83,32,35,6,Kelce,59,12,84,63,64,66,29,15,KelceTravis_890,10/5/89,Right,5920,20,10,890,42,85,66,65,69,Long Stride High and Tight,88,36240000,92,71,97,published,84,79,45,9,49,53,64,47,70,33,48750000,91,78,260,9,14
Zack Martin,31,RG,76,Cowboys,98,97,68,64,70,70,G_Power,10,27,12,5,40,15,32,60,Notre Dame,5,10,Zack,20,93,93,launch-ratings,70,10,14,9,10,Martin,94,9,5,93,96,95,6,31,MartinZack_12348,11/20/90,Right,6511,10,10,12348,48,15,96,97,97,Default Stride Awkward,15,23170000,15,10,93,published,10,95,28,11,6,6,6,6,29,14,29140000,96,24,315,8,11
Derrick Henry,28,HB,75,Titans,97,98,93,85,88,86,HB_PowerBack,93,36,29,91,98,47,66,79,Alabama,41,12,Derrick,33,47,93,launch-ratings,22,86,20,21,36,Henry,49,14,49,38,43,62,15,20,HenryDerrick_17557,1/4/94,Right,8045,11,16,17557,41,47,31,35,42,Default Stride High and Tight,56,24500000,55,75,98,published,99,87,44,30,23,29,40,32,42,26,25500000,97,93,247,6,19
George Kittle,28,TE,76,49ers,97,96,88,85,92,89,TE_Possession,90,31,18,81,76,86,91,77,Iowa,76,18,George,38,78,86,launch-ratings,85,80,22,19,31,Kittle,65,15,82,58,62,62,10,35,KittleGeorge_12836,10/9/93,Right,8622,20,20,12836,36,84,71,76,77,Default Stride Loose,85,20920000,91,64,94,published,85,82,34,15,10,15,20,10,30,14,42800000,98,84,250,5,24
Tom Brady,45,QB,76,Buccaneers,97,99,71,70,63,70,QB_FieldGeneral,51,33,61,31,69,15,39,65,Michigan,12,10,Tom,12,34,99,launch-ratings,12,57,28,43,10,Brady,28,11,14,19,14,19,99,20,BradyTom_1327,8/3/77,Right,494,10,10,1327,30,12,10,15,25,Default,15,10780000,30,35,99,published,27,64,32,6,95,96,99,83,92,86,1120000,99,20,225,22,19
Tyreek Hill,28,WR,69,Dolphins,97,90,99,98,92,99,WR_Playmaker,97,21,28,85,79,85,88,99,West Alabama,96,10,Tyreek,25,40,90,launch-ratings,10,98,15,13,92,Hill,20,10,93,19,19,33,19,26,HillTyreek_17838,3/1/94,Left,8052,10,30,17838,33,92,12,17,59,Short Stride Default,93,40800000,91,86,91,published,45,64,27,12,23,28,31,28,41,24,99900000,93,38,185,6,20
Aaron Rodgers,38,QB,74,Packers,96,97,80,81,76,76,QB_FieldGeneral,78,19,85,65,63,15,47,79,California,12,10,Aaron,12,29,91,launch-ratings,12,53,18,15,10,Rodgers,22,13,14,12,12,12,95,25,RodgersAaron_26668,12/2/83,Right,6299,10,10,26668,24,15,18,18,23,Default,15,125950000,15,54,97,published,22,59,19,20,91,93,96,96,93,97,87650000,98,29,225,17,19
Christian McCaffrey,26,HB,71,Panthers,96,91,91,96,90,93,HB_ReceivingBack,94,32,24,83,96,72,83,94,Stanford,67,10,Christian,27,45,86,launch-ratings,22,93,23,29,88,McCaffrey,47,12,74,32,36,67,25,28,McCaffreyChristian_12556,6/7/96,Right,8655,10,15,12556,44,76,22,22,38,Short Stride High and Tight,81,39390000,73,91,98,published,77,72,36,21,30,37,41,43,44,17,38640000,93,59,205,5,17
DeAndre Hopkins,30,WR,73,Cardinals,96,95,90,89,99,88,WR_Physical,93,45,22,85,72,97,96,86,Clemson,91,32,DeAndre,35,49,92,launch-ratings,10,91,20,20,72,Hopkins,29,32,96,25,27,44,15,28,HopkinsDeAndre_506,6/6/92,Right,5873,30,40,506,30,98,35,37,54,Short Stride Loose,97,52400000,99,83,97,published,81,79,52,7,10,10,15,15,35,23,42020000,97,59,212,9,35
Nick Chubb,26,HB,71,Browns,96,98,92,83,92,91,HB_PowerBack,92,29,28,98,95,53,67,82,Georgia,39,12,Nick,35,35,91,launch-ratings,24,87,12,17,35,Chubb,37,12,46,25,39,69,15,18,ChubbNick_13129,12/27/95,Right,8846,18,13,13129,35,48,30,34,37,Default Stride High and Tight,54,15860000,54,74,94,published,94,85,29,5,15,20,25,17,26,15,25180000,92,91,227,4,16
T.J. Watt,27,LOLB,76,Steelers,96,98,83,84,88,89,OLB_SpeedRusher,49,88,12,23,53,42,63,71,Wisconsin,7,96,T.J.,85,76,88,launch-ratings,90,46,50,57,6,Watt,16,59,14,45,45,45,6,95,WattTJ_12562,10/11/94,Right,8770,85,43,12562,96,22,45,45,45,Long Stride Loose,24,35000000,48,37,87,published,53,83,91,29,6,6,6,6,25,16,87100000,91,52,252,5,65
Jonathan Taylor,23,HB,70,Colts,95,96,94,87,84,93,HB_PowerBack,97,25,28,95,95,54,70,87,Wisconsin,48,10,Jonathan,25,37,94,launch-ratings,28,93,15,17,45,Taylor,32,12,55,24,29,50,14,13,TaylorJonathan_20928,1/19/99,Right,604,10,14,20928,33,51,24,27,34,Default,62,3710000,56,83,97,published,93,82,27,10,15,20,25,17,29,15,4120000,92,88,226,2,19
Patrick Mahomes,26,QB,75,Chiefs,95,91,84,88,74,87,QB_Improviser,82,24,89,74,64,32,37,87,Texas Tech,15,10,Patrick,18,27,96,launch-ratings,15,74,10,20,10,Mahomes,23,17,17,10,10,10,96,22,MahomesIIPatrick_12635,9/17/95,Right,8648,10,10,12635,37,22,10,10,23,Default,27,92260000,30,69,96,published,57,70,26,9,89,91,95,98,97,95,227250000,96,51,230,5,19
Quenton Nelson,26,LG,77,Colts,95,97,64,69,67,67,G_Power,16,27,12,11,35,10,19,59,Notre Dame,10,10,Quenton,28,94,96,launch-ratings,56,12,15,21,10,Nelson,96,9,10,88,92,90,6,18,NelsonQuenton_13081,3/19/96,Left,9002,10,10,13081,36,12,91,93,92,Long Stride Awkward,10,15440000,12,10,90,published,10,97,34,10,6,6,6,6,27,15,22190000,91,37,329,4,10
Stefon Diggs,28,WR,72,Bills,95,96,92,92,91,94,WR_Playmaker,95,35,27,84,74,92,98,95,Maryland,92,10,Stefon,12,49,94,launch-ratings,14,97,30,30,85,Diggs,29,33,95,22,20,39,18,20,DiggsStefon_2454,11/29/93,Right,7085,10,27,2454,35,91,33,36,53,Default Stride Loose,94,60120000,94,89,95,published,64,62,27,3,18,23,27,27,46,20,72600000,92,42,191,7,38
